text;label
оригинальное название федеративная республика нигерия;other
какой валютой пользуются туристы в минске;other
поменяй пожалуйста местами музыку в плейлисте;other
реструктуризацию и тому подобные вещи;other
как вы думаете продюсер фильма гоголь известный человек;other
свет в мастерской;other
какая площадь;other
в среду на следующей неделе какое будет число;other
узнать баланс по моей дебетовой карте;other
а как смотреть номинальный счет;other
можно продать одно евро;other
есть на примете интересные места для отпуска;other
что такое туризм;other
предлагаю тебе;other
переведи тридцать тысяч марии;other
включите мне уведомления на телефон;other
пятьдесят евро в рублях;other
еще раз;other
какая погода на следующей неделе на владикавказе;other
первое июня это какой день недели;other
алиса переведи одну тысячу рублей маме;other
друзей вживую если особо ни с кем не общаюсь;other
страна хаятт;other
фильмы которые входят в темный рыцарь;other
какая валюта в латвии;other
вегас правдивая история подключи;other
что такое спаржа какая она на вкус;other
сделай перевод один миллион на карточку виктории;other
оплатить номер супруга;other
мы друг друга не понимаем так что помолчи;other
а какое нынче кино интересное;other
любит ли цветы ольга голодец;other
откуда она;other
найти канал телевидения рен тв;other
самый прибыльный фильм лета две тысячи девятнадцатого;other
высота шевроле лачетти;other
призрак в доспехах;other
не работает авторизация в приложении банка;other
широта грузинский язык;other
как оплатить кредит другого банка;other
как перестать думать и забыть о первой любви;other
как называется валюта в ботсване;other
какие ордена подвязки ты знаешь;other
прадеда бунина;other
кто производитель пп девятнадцать бизон;other
к какому территориальному банку относится пенза;other
ровно через двадцать минут от этого времени;other
занимался ли экстремальным спортом александр владимирович;other
возьми трубку звонит мама;other
какая основная валюта в милане;other
запустить таймер времени;other
почему в зарубежных фильмах женщины часто курят;other
найди фильм добро пожаловать в зомби ленд;other
какие виды медовухи ты знаешь;other
тысяча шестнадцатого года;other
где родился станислав константинович;other
какая валюта в португалии действует;other
может сделаем гербарий;other
у александры юрьевны много друзей;other
узнай мне стоимость обмена ста баксов;other
основатель стоп хам;other
мне нужно наращивание ногтей с покрытием и педикюр;other
как называется прямое деление клетки;other
где живет джангиров джангир;other
гарри поттер и принц полукровка;other
есть на примете куда сходить в бар;other
давай знакомиться;other
сколько рек протекает в городе минске;other
какой номер социального страхования ты знаешь;other
включи инцидент;other
посоветуйте книги сюжет которых основан на реальных событиях;other
поставь будильник на пять часов утра;other
самое чистое озеро в мире;other
у тома харди есть семья;other
что происходит с партией по мнению исследователей;other
что ждет веб сайт после завершения работы;other
заселение горячий ключ;other
сколько по времени длится короткометражное кино;other
найди канал авто плюс;other
какие виды человеческой расы ты знаешь;other
как называется этот фильм я не успела увидеть;other
какие координаты у цунами в северо курильске;other
что можно было купить за триста рублей в россии в девятнадцатом веке;other
ты отличный собеседник;other
смотреть луна богов все части;other
что любит делать анатолий попов в свободное время;other
за сколько можно обменять двести шестьдесят четыре;other
кто играл главную роль;other
включи идеи для лд мария лэнд;other
от чего зависело качество звука;other
все ложим трубку;other
как изменить условия по кредиту;other
сколько бабла осталось на карте тинькофф;other
как называлась первая программная фирма;other
какие аранжировка ты знаешь;other
покажи каналы еда;other
как научиться совмещать общение со старыми друзьями и с новыми;other
включи телевизионный канал матч;other
какие дискографии группы би два ты знаешь;other
как называется этот спортивный элемент или как его можно назвать;other
хочу услышать все с самого начала;other
у тебя есть пара для обнимашек;other
необходимо увеличить лимит кредитной карты;other
олег ганиев хорошо поет;other
включи таймер на пять минут десять секунд;other
надо соединить меня с сотрудником;other
хочу посмотреть интересную веселую смешную комедию прямо сейчас найди пожалуйста;other
найди мне фильм георгия данелия;other
;other
молчание ягнят;other
веб сайт тв шесть;other
готовить просто;other
переведи жене на любую карту четырнадцать тысяч рублей;other
что мне делать мне сейчас позвонили мошенники;other
какие видеохронос ты знаешь;other
сколько лет грефу;other
можете отклонить входящий вызов;other
помогите пожалуйста отключить автоплатеж;other
канал европа плюс тв;other
какая валюта используется в сан франциско;other
будильник на восемь утра на каждый последующий день;other
что делать если забыл пин код;other
какие новгородская земля ты знаешь;other
хочу получить справку о платеже;other
где расположен олимпик леон;other
открой дискавери;other
чему подверглась историческая поэтика;other
как можно увеличить лимит на кредитной карте;other
есть ли автомобиль у дудиной;other
чем могу помочь сэр;other
иди спать через пять минут;other
какой день недели послезавтра;other
какие ак шестьсот тридцать ты знаешь;other
куда можно потратить бонусы спасибо;other
как называется то что играет;other
где упоминается арабская стрелка;other
кредит с карточки достающую сумму спишут до конца дня;other
купить лари недорого;other
мне это не интересно давай сменим тему;other
жене девять тысяч триста восемьдесят рублей отправь;other
что такое ботсвана;other
не трогай меня;other
она мой друг;other
посмотрите на кого я перевела деньги среда двадцать восьмого;other
запиши меня на маникюр и педикюр завтра;other
сделай перевод моему другу диме на карту пятьсот рублей;other
кто муж бог творец;other
как оформить страховой полис;other
где упоминается праническое питание;other
куда ехать чтоб найти ближайший банкомат;other
включи звонкие голоса;other
посмотри сколько у меня денег на первой карте;other
где ты познакомилась со своим мужчиной;other
включи канал матч боец;other
переведи пятьдесят рублей артемке;other
найди пожалуйста текст песни которая играет сейчас;other
сколько;other
вы не могли бы подготовить мне выписку моего счета;other
значит вы читаете фразу про себя;other
какую валюту брать с собой вгренландию;other
найди банкомат поблизости;other
сколько градусов ощущается на улице сейчас;other
скажи баланс карты газпрома;other
включи казинформ;other
какое лето в сочи;other
вы серьезно;other
ты считать умеешь;other
включи;other
спокойной ночи сладких снов;other
заблокировать разговор;other
расскажи мне какую нибудь интересную шутку;other
есть ли комиссия за снятие наличных в банкомате;other
найди фильм статус обновлен;other
сколько сейчас градусов в санкт петербурге;other
какая должность у льва хасиса;other
хоббит братство кольца;other
погода на ближайшие три дня в городе ялта;other
в каких источниках описывается история италии;other
какие виды серп и молот ты знаешь;other
пожалуйста до ближайшего банкомата;other
помогите в оформлении кредита;other
любимый мультик простоквашино посмотреть;other
кем восхищается юлия германова;other
давай посмотрим какое видео будет следующее;other
кузнецов станислав любит природу;other
переведи денег антону;other
какие виды денежных мультипликаторов ты знаешь;other
источники арабский залив;other
лучшие фильмы для просмотра две тысячи семнадцатый;other
продиктуй уровень осадков на сегодня;other
какая завтра погода во владивостоке;other
сейчас времени в перми;other
когда плакал последний раз мальцев сергей;other
какая валюта у англичан;other
сайт рособоронэкспорт;other
первое января это какой день недели был;other
на трек назад;other
на чем основано равенство дикарей в сочинении руссо;other
какая валюта у египтян;other
семь ужинов смотреть онлайн;other
включи музыку через десять минут;other
какие виды фай максим;other
чем платят у словаков;other
фильм две тысячи шестого года режиссер кристофер нолан;other
как появились первые вирусы на земле;other
переведи две тысячи восемь;other
как называется валюта англии;other
включи канал вместе рф;other
включи литтл три хаус раша русские мультфильмы для детей;other
подготовьте выписку по вкладу за период;other
поставь телевизионный канал телеканал театр;other
следующий вопрос;other
есть шутки от грефа;other
канал телевидения ростов папа;other
хочу оформить карту помоги;other
в каком году в америке был получен патент на электромагнитный телеграф;other
замолчи сейчас же;other
через полчаса;other
кто автор малифисента;other
жанр мелодрама жанр мелодрама;other
где отдыхает дудина;other
хочу поговорить с человеком;other
телевизионный канал мир двадцать четыре;other
расскажи интересные факты о древних римлянах;other
банкомат любого банка поблизости;other
когда возник герой социалистического труда;other
это справедливо;other
шерлок холмс и доктор ватсон знакомство;other
пошли поиграем в баскетбол;other
какими денежными средствами пользуются в венеции;other
;other
сколько существует типов;other
когда возник заповедник остров врангеля;other
можно ли найти банкомат рядом с автомойкой;other
кодовое слово для входа на сайт;other
канал сабис;other
сделай пополнение телефона на двести рублей;other
здравствуйте можно отключить смс оповещение;other
эта роль сделала арнольда шварценеггера;other
а кто тебе нравится из актеров;other
расскажи о погоде в сочи;other
включай телеканал нтв сериал;other
найди канал здоровое тв;other
включи унагранде йога клуб;other
нужно сделать перевод коллеге из соседнего отдела;other
узнать баланс по карте;other
халатность и безолаберность;other
остров даманский ты знаешь;other
численность населения бермуды;other
сделай перевод один миллион на карточку виктории;other
переведи маме на карту;other
переведи двадцать рублей сыну по номеру телефона;other
сериал ведьма две тысячи девятнадцатый год;other
канал тнт четыре;other
алиса сколько у меня денег на счету на золотой карте втб;other
сколько осталось денег на пенсионной карточке;other
покажи мне канал телевидения стс;other
сколько сейчас времени в тюмени;other
мир кевина афина включи;other
карты мое она нашлась;other
официальный сайт тв три;other
поставь канал наше новое кино;other
столица мавритании;other
зарегистрироваться в спасибо;other
серьезная проблема;other
популярные фильмы в жанре мелодрама;other
найди компанию газпром;other
на каком языке написано тик ток;other
где посмотреть история операций по счетам;other
назови мне баланс на моей кредитке;other
включить быстрый платеж;other
соедини меня с другом по видео звонку;other
баланс карты;other
какого числа платеж по кредиту;other
включи фри шоу;other
расскажи что нибудь занятное;other
посмотреть большая азия;other
алиса как выглядит актер гоша куценко;other
можно узнать почему мне отказывают в кредите дважды;other
сложи пять тысяч шестьсот семьдесят восемь;other
прилучный павел;other
что любит делать анатолий попов в свободное время;other
восьмая миля смотреть онлайн;other
переведи быстро восемьдесят рублей михаилу;other
телефонный код центральная африканская республика;other
какой жанр у фильма зеленая книга;other
пополни карту голд;other
поставь музыку для фона;other
с кем ты в романтических отношениях;other
алиса подскажи пожалуйста курс доллара в россии в альфа;other
простите пожалуйста но как подключить смс платеж;other
какие виды горджия дворянский род ты знаешь;other
по какой причине не увенчался успехом запуск в космос первой орбитальной обсерватории;other
включи мук;other
что такое приход национал социалистов к власти;other
установи таймер на два часа;other
чем платят жители тайваня;other
поставить будильник на пять ноль;other
смотрю ты чем то занимаешься давай вместе;other
я хочу сделать маникюр запиши меня;other
нужно перенести бронь столика в пятницу с девятнадцати ноль ноль на этот же день;other
включи пожалуйста спокойную релаксирующую музыку;other
перевод денежных средств открыть в интернет банкинге;other
в самаре будет жарко;other
покажи телевизионный канал хабар двадцать четыре;other
номер службы поддержки;other
первое сентября на какой день недели придется;other
что он хочет;other
приостановить видео;other
как указывать реквизиты своей карты для проведения платежа;other
чем были подтверждены доказательства происхождения от общего предка;other
какой официальный язык в иерусалимское королевство;other
к какому территориальному банку относится чукотка;other
какую валюту принимают в чехии;other
фильм мстители финал смотреть;other
по моим операциям за май;other
выключи телевизор через полтора часа;other
список эпизодов вселенная стивена;other
как насчет твоего умственного развития на твой взгляд;other
любимый напиток алымовой;other
включить канал;other
найди фильм джокер в хорошем качестве;other
фильмы человек паук;other
по какой причине могут не дойти деньги до адресата;other
сонная лощина джонни депп;other
здравствуйте забыла пароль от карты как узнать;other
из чего сделана девочка с персиками серова;other
смотреть операцию ы и другие приключения шурика онлайн;other
это еще кто;other
перевести пять тысяч рублей антону;other
какой валютой расплачиваются в туркмении;other
объясните мне правильное значение термина венчурный капиталл;other
деньги на карту в банкомате;other
нашла кредитную карту можно ее разблокировать;other
какой валютой расплачиваются на джерси;other
запусти жанр электроники;other
перешли маме деньги пятьсот;other
владимир ганеев;other
какие лиссабонское землетрясение ты знаешь;other
открой канал телевидения тв центр;other
переставь будильник на час позже;other
робот я хочу веселья развесели меня пожалуйста;other
официальное название мечеть пророка;other
не хочу разговаривать;other
какие виды закон сохранения вещества ты знаешь;other
когда можно забрать перевыпущенную карту;other
сделай меньше света на лоджии на максимум;other
какая валюта у иорданцев;other
переведи деньги моей маме пожалуйста тысячу рублей;other
включи телеканал большая азия;other
покажи канал центральное телевидение;other
смотреть онлайн манифисера;other
алиса баланс кредитной карты альфа банка;other
семнадцать тысяч долларов в евро;other
какой пол уезики;other
отклонить звонок;other
джой передай управление еве;other
алиса во сколько начнется дождь;other
мне надо забрать карту могу ли я забрать ее позже;other
можешь рассказать шутку про школу;other
найди интересный факт;other
лучшие жанры фильма научная фантастика;other
покажи мне дорогу до ближайшего банкомата;other
какие виды островов даманский ты знаешь;other
военное телевидение;other
какую валюту брать с собой в гренландию;other
в создании каких известных фильмов принимал участие продюсер федор бондарчук;other
только что;other
соленый сет;other
вруби хард рок;other
на каком языке создана проза бродячих псов;other
для кого открывается дополнительная карта;other
включи кунг фу футбол;other
переключить на канал телевидения пятый канал;other
открой вместе рф;other
отправь пятьсот виталику на номер восемь девятьсот двадцать один сто двадцать;other
ближайший банкомат с функцией снятия или вложения денег;other
какой баланс на второй карте;other
какие виды гей прайд парад ты знаешь;other
какие координаты у скандинавский полуостров афина какие причины задолженности по карте;other
разговор завершен;other
высота обнаженной моны лизы над землей;other
провести оценки тот номер плюс;other
отобрази остаток средств на моей карте;other
тысячу рублей на мой сотовый;other
сейчас кризис как мне изменить время платежа и дату;other
какие группы стаса намина ты знаешь;other
за сколько можно купить двадцать тысяч тенге;other
пожалуйста телевизор через полтора часа;other
как заблокировать карту с минусом;other
уменьши громкость пожалуйста;other
что интересного в мире происходит;other
мне нужен кредит помогите;other
запись в салон красоты на стрижку волос сегодня;other
какому фильму долго не давали оскар;other
подскажи где находится ближайший банкомат чтобы снять деньги;other
подскажи пожалуйста где я могу найти реквизиты своей карты и счет для проведения данной операции;other
когда возник астра;other
я хочу отключить автопополнение мобильного счета;other
мстители;other
какие клетки играют важную роль в гормональной системе;other
а вы можете отключить мне автоплатеж;other
образовательное учреждение города кемерово;other
срочно переведи рубль жене;other
в россии курс валюты;other
подключи уведомления на телефон;other
переведи деньги на счет мегафон центр;other
какая сумма на счете;other
нилетто любимка слушать;other
здравствуй можно узнать баланс номинального счета;other
ты правда так считаешь;other
где находится антарктида;other
включи йоко;other
какие виды межполушарной асимметрии ты знаешь;other
в каком регионе находится конкурс песни евровидение;other
каких президентов хорватии ты знаешь;other
там не указано откуда пришли деньги;other
как понимать значение термина расписка;other
найди мне один дома первую часть;other
хочу в отпуск устала от всего;other
забыла пин код карты;other
на следующей неделе в домодедово будет дождь;other
сколько сейчас времени в екатеринбурге;other
какой институт окончил станислав кузнецов;other
добрый день необходимо продлить страховку по ипотечному кредитованию звонили и говорили что можно это сделать дистанционно оплатив с карты это возможно;other
игнорировать вызов;other
скажи какую политическую идеологию предпочитает джеймс ган;other
сколько денег на карте кубань кредит;other
каналы любимое кино;other
какая температура будет сегодня ночью;other
какая валюта используется в австрии;other
какие виды эльфийских песен ты знаешь;other
как быстрее всего пройти к банкомату;other
что такое бухгалтерский баланс;other
почему я не вижу номер своей карты в приложении;other
и это все;other
какой баланс у меня на карте виза;other
заканчивается срок действия карты;other
голосовой помощник надо оплатить сотовую связь;other
сегодня дождь;other
где находится ближайший банкомат для снятия наличных;other
мне нужно кое что сделать;other
включи зея страну мечты;other
уже приехали;other
верни обратно перевод на телефон;other
включите канал мир;other
что такое срочность вклада;other
запусти отсчет таймера;other
в какой стране проходит чемпионат европы по футболу;other
ты ждешь женщину по вечерам;other
доброе утро как можно использовать бонусы от спасибо;other
когда кончится твоя ненависть к вещам;other
положи трубку с меня достаточно;other
какой валютой расплачиваться в бангладеш;other
добрый день подскажите могу ли я увеличить кредитный лимит по карте;other
найди мне фильмы с томом крузом;other
какой курс валюты рубль доллар сегодня;other
смотреть фантастические твари;other
добрый вечер подскажите пожалуйста как можно потратить бонус спасибо;other
запиши пожалуйста на стрижку бороды в мой барбершоп на следующей неделе;other
ассистент включи пожалуйста музыку группы лимп бизкит чтобы настроиться на весь день;other
мой телефон заразился вирусом;other
кто такой мэттью макконахи;other
где упоминается самсон;other
пришло смс с номером это ваш номер;other
какие виды истории ярославля ты знаешь;other
фильмография вупи голдберг в честь кого назвали;other
златкис любит кино;other
пошути про тещу или тестя;other
исполнитель алымовой;other
пользуется водой;other
книга джунглей две тысячи шестнадцать;other
соедини меня с оператором мне нужно решить вопрос;other
почему демонов братьев зовут итальянскими числительными;other
как избавиться от зацикливания в разговоре;other
запусти канал телевидения тнт четыре;other
история операций за две карты;other
чем заняться в ожидании весны;other
капитан сборной сша по футболу;other
что такое дифференцированные платежи;other
седьмое октября это часть чего;other
какое число будет в следующую пятницу;other
какие священные писания ты знаешь;other
закажи стол в пабе;other
курсы доллара национальный банк;other
узнать остаток на счете;other
можешь изменить процентную ставку по кредиту;other
сухопутные войска великобритании;other
какой институт окончил хасис;other
какая погода в понедельник в уфе;other
какие виды кремля нижнего новгорода ты знаешь;other
умножь мне пожалуйста тридцать восемь на сто семь;other
мне нужен ближайший банкомат ты можешь найти;other
как повлияет демографическая ситуация в россии и последние изменения в пенсионной системе на будущий размер моей пенсии;other
сыграй хип хоп;other
найди мне король лев;other
как расплачиваться баллами спасибо;other
оплати сотовую связь контакту брат;other
ближайшие банкоматы по моему маршруту;other
к какому тербанку относится абакан;other
какие виды супервизов ты знаешь;other
здравствуйте я совершила недавно перевод и мне теперь в числе требуется;other
сколько можно купить тенге на двести тысяч рублей;other
организатор суперкубок уефа две тысячи девятнадцать;other
полночное солнце;other
покажи канал телевидения матч тв;other
мне позвонили мошенники спросили мои личные данные мои номер моей карты мне нужно уведомить банк о том что;other
до какого времени работаете;other
вруби телеканал звезда;other
какая погода нас ждет в ближайшие выходные;other
кто создал когда они пришли;other
приближенными;other
занимает западный административный округ;other
реквизиты карты номер;other
в состав чего входит таф;other
сделай поярче в подъезде;other
фильм терминатор восстание машин;other
с моей карты скинь денег на сотовую связь моему другу;other
что нужно делать если звонят банковские мошенники;other
найти банкомат в радиусе один километр;other
не волнуйся об этом;other
официальное название кастильский язык;other
не отображены личные данные;other
переведи шесть тысяч рублей жене;other
как снимают сцены похорон в фильмах не против ли актеры;other
поставь таймер через двадцать минут;other
открой канал открытый мир;other
у меня кредитка с лимитом пятнадцать тысяч есть ли возможность увеличить сумму лимита;other
самые ожидаемые фильмы выйдут летом;other
сохранился ли в мире радикальный феминизм или сейчас распространены либеральный;other
мобильный банк смс платеж подключение бесплатное обслуживание как подключить;other
восемнадцать в кубе это сколько будет;other
установи будильник на пять часов утра;other
забрать карту потом;other
включи ваганыча;other
соверши перевод моему коллеге в размере пятиста рублей;other
