;text;label
173;принимаю, на выход;accept
174;окей;accept
175;окей забираю;accept
176;окей принимаю;accept
177;готов;accept
178;работаю;accept
179;работаю, беру;accept
180;работаю, забираю;accept
181;работаю, принимаю;accept
182;беру, работаю;accept
183;забираю, работаю;accept
184;принимаю, работаю;accept
185;надо,беру;accept
186;надо,забираю;accept
187;надо,принимаю;accept
188;берём, надо;accept
189;беру, надо;accept
190;забираю, надо;accept
191;принимаю, надо;accept
192;ладно, беру;accept
193;ладно, забираю;accept
194;ладно, принимаю;accept
195;ладно, берём;accept
196;ладно, заберём;accept
197;ладно, примем;accept
198;берём сами;accept
199;беру себе;accept
200;забираю себе;accept
201;принимаю себе;accept
202;себе, беру;accept
203;себе, забираю;accept
204;себе, принимаю;accept
205;я беру;accept
206;я забираю;accept
207;я принимаю;accept
208;мы берём;accept
209;мы забираем;accept
210;мы принимаем;accept
211;берём быстрый;accept
212;беру быстрый;accept
213;забираю быстрый;accept
214;принимаю быстрый;accept
215;берём срочный;accept
216;беру срочный;accept
217;забираю срочный;accept
218;принимаю срочный;accept
219;берём экспресс;accept
220;беру экспресс;accept
221;забираю экспресс;accept
222;принимаю экспресс;accept
223;ок, старт;accept
224;ок, еду;accept
225;ок, поехал;accept
226;ок, выезжаю;accept
227;по рукам;accept
228;договорились;accept
229;беру, договорились;accept
230;забираю, договорились;accept
231;принимаю, договорились;accept
232;сделаем;accept
233;делаю;accept
234;делаю, беру;accept
235;делаю, забираю;accept
236;делаю, принимаю;accept
237;беру, делаю;accept
238;забираю, делаю;accept
239;принимаю, делаю;accept
240;принял;accept
241;приняли;accept
242;приняла;accept
243;подтверждаю сделку;accept
244;подтвердил;accept
245;подтвердили;accept
246;подтвердила;accept
247;есть беру;accept
248;есть забираю;accept
249;есть принимаю;accept
250;беру окончательно;accept
251;забираю окончательно;accept
252;принимаю окончательно;accept
253;финиш, беру;accept
254;финиш, забираю;accept
255;финиш, принимаю;accept
256;принимаю;accept
257;беру;accept
258;забираю;accept
259;да;accept
260;подтверждаю заказ;accept
261;да, принимаю;accept
262;да, беру;accept
263;да, забираю;accept
264;принимаю быстро;accept
265;забираю быстро;accept
266;принимаю немедленно;accept
267;забираю немедленно;accept
268;принимаю без задержек;accept
269;забираю без задержек;accept
270;принимаю без вопросов;accept
271;забираю без вопросов;accept
272;приму заказ;accept
273;заберу заказ;accept
274;забираю его;accept
275;принимаю его;accept
276;забираю это;accept
277;принимаю это;accept
278;возьму;accept
279;возьму заказ;accept
280;возьму сейчас;accept
281;возьму срочно;accept
282;возьмём;accept
283;возьмём сейчас;accept
284;возьмём срочно;accept
285;забираем;accept
286;забираем заказ;accept
287;всё, беру;accept
288;всё, забираю;accept
289;всё, принимаю;accept
290;окей, беру;accept
291;окей, забираю;accept
292;окей, принимаю;accept
293;принимаю к работе;accept
294;забираю к работе;accept
295;принимаю к исполнению;accept
296;забираю к исполнению;accept
297;подбираю;accept
298;подбираю заказ;accept
299;буду;accept
300;буду сейчас;accept
301;буду срочно;accept
302;еду за заказом;accept
303;выезжаю сейчас;accept
304;уже еду;accept
305;уже выезжаю;accept
306;поехал;accept
307;выехал;accept
308;еду исполнять;accept
309;беру, поехал;accept
310;принимаю, поехал;accept
311;забираю, выезжаю;accept
312;принимаю, выезжаю;accept
313;принимаю, в пути;accept
314;на месте, беру;accept
315;на месте, принимаю;accept
316;на месте, забираю;accept
317;выезжаем;accept
318;забираем, выезжаем;accept
319;принимаем, выезжаем;accept
320;ок, стартую;accept
321;хорошо, беру;accept
322;хорошо, забираю;accept
323;хорошо, принимаю;accept
324;нормально, беру;accept
325;нормально, забираю;accept
326;нормально, принимаю;accept
327;готов, беру;accept
328;готов, забираю;accept
329;готов, принимаю;accept
330;я готов;accept
331;я готов взять;accept
332;я готов забрать;accept
333;я готов принять;accept
334;выполняю;accept
335;выполняю заказ;accept
336;беру, выполняю;accept
337;забираю, выполняю;accept
338;принимаю, выполняю;accept
339;делаю заказ;accept
340;начинаю;accept
341;начинаю заказ;accept
342;всё беру;accept
343;всё забираю;accept
344;всё принимаю;accept
345;без вопросов беру;accept
346;без вопросов забираю;accept
347;без вопросов принимаю;accept
348;без промедления беру;accept
349;без промедления забираю;accept
350;без промедления принимаю;accept
351;моментально беру;accept
352;моментально забираю;accept
353;моментально принимаю;accept
354;ок, подтверждаю;accept
355;подтверждаю приём;accept
356;подтверждаю, беру;accept
357;подтверждаю, забираю;accept
358;подтверждаю, принимаю;accept
359;принято;accept
360;принят;accept
361;принята;accept
362;принят заказ;accept
363;взял;accept
364;всё, взял;accept
365;уже взял;accept
366;возьму сразу;accept
367;возьму моментально;accept
368;хай, беру;accept
369;ага, беру;accept
370;ага, забираю;accept
371;ага, принимаю;accept
372;yes, take;accept
373;i take;accept
374;taking;accept
375;confirmed;accept
376;confirm;accept
377;order confirmed;accept
378;accept;accept
379;got it;accept
380;got order;accept
381;ok take;accept
382;давай приму;accept
383;давай заберём;accept
384;беру, без лишнего;accept
385;забираю, без лишнего;accept
386;принимаю, без лишнего;accept
387;без базара беру;accept
388;без базара забираю;accept
389;без базара принимаю;accept
390;чётко беру;accept
391;чётко забираю;accept
392;чётко принимаю;accept
393;принято мной;accept
394;принимаю лично;accept
395;забираю лично;accept
396;беру лично;accept
397;беру в работу;accept
398;забираю в работу;accept
399;принимаю в работу;accept
400;вхожу;accept
401;вхожу в заказ;accept
402;беру задачу;accept
403;забираю задачу;accept
404;принимаю задачу;accept
405;беру рейс;accept
406;забираю рейс;accept
407;принимаю рейс;accept
408;подхватываю;accept
409;подхватываю заказ;accept
410;я подхвачу;accept
411;подхватили;accept
412;беру объект;accept
413;забираю объект;accept
414;принимаю объект;accept
415;принимаю операцию;accept
416;беру операцию;accept
417;забираю операцию;accept
418;беру, вперёд;accept
419;забираю, вперёд;accept
420;принимаю, вперёд;accept
421;забираю, начинаю;accept
422;принимаю, начинаю;accept
423;старт, беру;accept
424;старт, забираю;accept
425;старт, принимаю;accept
426;go;accept
427;go, take;accept
428;go, accept;accept
429;ок, go;accept
430;выхожу;accept
431;выхожу сейчас;accept
432;выхожу, беру;accept
433;выхожу, забираю;accept
434;выхожу, принимаю;accept
435;уже беру;accept
436;уже принимаю;accept
437;уже забираю;accept
438;всё в силе, беру;accept
439;всё в силе, принимаю;accept
440;всё в силе, забираю;accept
441;без паузы беру;accept
442;без паузы принимаю;accept
443;без паузы забираю;accept
444;момент;accept
445;в момент беру;accept
446;в момент забираю;accept
447;в момент принимаю;accept
448;на себя;accept
449;забираю мгновенно;accept
450;моментально тут;accept
451;беру тут;accept
452;забираю тут;accept
453;принимаю тут;accept
454;беру, ближний;accept
455;забираю, ближний;accept
456;принимаю, ближний;accept
457;беру, недалеко;accept
458;забираю, недалеко;accept
459;принимаю, недалеко;accept
460;беру, по пути;accept
461;забираю, по пути;accept
462;принимаю, по пути;accept
463;беру, свободен;accept
464;забираю, свободен;accept
465;принимаю, свободен;accept
466;свободен, беру;accept
467;свободен, забираю;accept
468;свободен, принимаю;accept
469;отмечаю, беру;accept
470;отмечаю, забираю;accept
471;отмечаю, принимаю;accept
472;беру, закрываю;accept
473;забираю, закрываю;accept
474;принимаю, закрываю;accept
475;беру, бегу;accept
476;забираю, бегу;accept
477;принимаю, бегу;accept
478;бегу, беру;accept
479;бегу, забираю;accept
480;бегу, принимаю;accept
481;мчусь, беру;accept
482;мчусь, забираю;accept
483;мчусь, принимаю;accept
484;спринт, беру;accept
485;спринт, забираю;accept
486;спринт, принимаю;accept
487;фаст, беру;accept
488;фаст, забираю;accept
489;фаст, принимаю;accept
490;шустро беру;accept
491;шустро забираю;accept
492;шустро принимаю;accept
493;мгн, беру;accept
494;мгн, забираю;accept
495;мгн, принимаю;accept
496;сразу да;accept
497;сразу беру;accept
498;сразу забираю;accept
499;сразу принимаю;accept
500;беру эту поездку;accept
501;забираю эту поездку;accept
502;принимаю эту поездку;accept
503;беру пассажира;accept
504;забираю пассажира;accept
505;принимаю пассажира;accept
506;беру клиента;accept
507;забираю клиента;accept
508;принимаю клиента;accept
509;беру вызов;accept
510;забираю вызов;accept
511;принимаю вызов;accept
512;беру заказик;accept
513;забираю заказик;accept
514;принимаю заказик;accept
515;всё, беру вызов;accept
516;всё, принимаю вызов;accept
517;всё, забираю вызов;accept
518;беру дело;accept
519;забираю дело;accept
520;принимаю дело;accept
521;ок, дело беру;accept
522;ок, дело забираю;accept
523;ок, дело принимаю;accept
524;беру рейсик;accept
525;забираю рейсик;accept
526;принимаю рейсик;accept
527;заказ мой;accept
528;беру мой;accept
529;принимаю мой;accept
530;забираю мой;accept
531;беру, мой заказ;accept
532;принимаю, мой заказ;accept
533;забираю, мой заказ;accept
534;я беру это;accept
535;я принимаю это;accept
536;я забираю это;accept
537;коллективно берём;accept
538;коллективно принимаем;accept
539;коллективно забираем;accept
540;команда берёт;accept
541;команда принимает;accept
542;команда забирает;accept
543;всё, поехали;accept
544;прямо сейчас;accept
545;принял, выехал;accept
546;принял, поехал;accept
547;принял, стартую;accept
548;забрал, выехал;accept
549;забрал, поехал;accept
550;забрал, стартую;accept
551;взял, выехал;accept
552;взял, поехал;accept
553;взял, стартую;accept
554;беру, выполняю срочно;accept
555;забираю, выполняю срочно;accept
556;принимаю, выполняю срочно;accept
557;подтверждаю, работаю;accept
558;подтверждаю, старт;accept
559;подтверждаю, поехал;accept
560;ок, подтверждено;accept
561;подтверждено, беру;accept
562;подтверждено, принимаю;accept
563;подтверждено, забираю;accept
564;финально беру;accept
565;финально принимаю;accept
566;финально забираю;accept
567;окончательно беру;accept
568;окончательно принимаю;accept
569;окончательно забираю;accept
570;беру момент;accept
571;принимаю момент;accept
572;забираю момент;accept
573;беру мгнов;accept
574;забираю мгнов;accept
575;принимаю мгнов;accept
576;лови, беру;accept
577;лови, забираю;accept
578;лови, принимаю;accept
579;чекаю, беру;accept
580;чекаю, забираю;accept
581;чекаю, принимаю;accept
582;беру, фикс;accept
583;забираю, фикс;accept
584;принимаю, фикс;accept
585;фиксирую, беру;accept
586;фиксирую, забираю;accept
587;фиксирую, принимаю;accept
588;беру, подтвержден;accept
589;забираю, подтвержден;accept
590;принимаю, подтвержден;accept
591;за мной;accept
592;беру побыстрее;accept
593;забираю побыстрее;accept
594;принимаю побыстрее;accept
595;беру незамедлительно;accept
596;забираю незамедлительно;accept
597;принимаю незамедлительно;accept
598;беру немедля;accept
599;забираю немедля;accept
600;принимаю немедля;accept
601;момент, беру;accept
602;момент, забираю;accept
603;момент, принимаю;accept
604;миг, беру;accept
605;миг, забираю;accept
606;миг, принимаю;accept
607;беру с ходу;accept
608;забираю с ходу;accept
609;принимаю с ходу;accept
610;всё ок, беру;accept
611;всё ок, забираю;accept
612;всё ок, принимаю;accept
613;вопрос решён, беру;accept
614;вопрос решён, забираю;accept
615;вопрос решён, принимаю;accept
616;беру, без пауз;accept
617;забираю, без пауз;accept
618;принимаю, без пауз;accept
619;беру вне очереди;accept
620;забираю вне очереди;accept
621;принимаю вне очереди;accept
622;беру первым;accept
623;забираю первым;accept
624;принимаю первым;accept
625;я беру первым;accept
626;я забираю первым;accept
627;я принимаю первым;accept
628;забираю, фиксирую;accept
629;беру, фиксирую;accept
630;принимаю, фиксирую;accept
631;беру клиент;accept
632;забираю клиент;accept
633;принимаю клиент;accept
634;дело за мной;accept
635;за мной заказ;accept
636;беру в дорогу;accept
637;забираю в дорогу;accept
638;принимаю в дорогу;accept
639;уже в пути;accept
640;уже стартую;accept
641;уже на выезде;accept
642;выезжаю за клиентом;accept
643;еду за клиентом;accept
644;беру, заберу;accept
645;принимаю, заберу;accept
646;забираю, беру;accept
647;заказ беру;accept
648;заказ забираю;accept
649;заказ принимаю;accept
650;беру, работаем;accept
651;принимаю, работаем;accept
652;забираю, работаем;accept
653;ок, в работу;accept
654;сглажено, беру;accept
655;сглажено, забираю;accept
656;сглажено, принимаю;accept
657;не беру;decline
658;скинь заказ;decline
659;отказываюсь;decline
660;откажись;decline
661;сбрасываю заказ;decline
662;не беру сейчас;decline
663;отказ;decline
664;не согласен;decline
665;не хочу;decline
666;пропускаю;decline
667;пропусти заказ;decline
668;отменяю;decline
669;отмена заказа;decline
670;не беру, извини;decline
671;не смогу;decline
672;нет, пас;decline
673;передай другому;decline
674;не подходит;decline
675;не успею;decline
676;пропусти, занят;decline
677;пропускаем;decline
678;пропускаю срочно;decline
679;скинь, занят;decline
680;откажи;decline
681;не интересует;decline
682;без меня;decline
683;не буду;decline
684;не беру, позже;decline
685;отменить;decline
686;снимай;decline
687;снимаю заказ;decline
688;не беру эту поездку;decline
689;отказываюсь сейчас;decline
690;не беру, спасибо;decline
691;не беру, занято;decline
692;передай другому водителю;decline
693;пусть возьмёт кто-то;decline
694;не беру, время поджимает;decline
695;отказываюсь принимать;decline
696;пропускаю, нет времени;decline
697;не беру, далеко;decline
698;длинно, отказываюсь;decline
699;заказ не мой;decline
700;пропускаю заказ;decline
701;снимаю, нет возможности;decline
702;откажись немедленно;decline
703;не беру, пробки;decline
704;не смогу сейчас;decline
705;не могу;decline
706;нет, не беру;decline
707;не возьму;decline
708;откажусь;decline
709;отказаться;decline
710;отменяем;decline
711;сброс;decline
712;сбрось;decline
713;другой возьмёт;decline
714;не тяну;decline
715;не везу;decline
716;не беру, маршрут неудобный;decline
717;не по пути;decline
718;не мой район;decline
719;далеко, отказ;decline
720;пропускаю, бензина мало;decline
721;занят, пропусти;decline
722;нет, пропускаю;decline
723;не беру, конец смены;decline
724;устал, отказ;decline
725;не беру, отдых;decline
726;беру отпуск, пропускаю;decline
727;не хочу брать;decline
728;не готов;decline
729;не беру, ремонт;decline
730;не беру, клиент далеко;decline
731;нет, спасибо;decline
732;позже;decline
733;я пас;decline
734;не вариант;decline
735;не сейчас;decline
736;в другой раз;decline
737;прости, нет;decline
738;отказываюсь, срочные дела;decline
739;не успеваю, пропускаю;decline
740;отменяю, погода;decline
741;слишком далеко;decline
742;нет возможности;decline
743;не смогу отвезти;decline
744;откажись от поездки;decline
745;не беру, плохая дорога;decline
746;нет, пропусти;decline
747;отменяю, загружен;decline
748;не беру, нет детского кресла;decline
749;нет времени;decline
750;отказываюсь, занято;decline
751;пропускаю, спешу;decline
752;далеко;decline
753;занят;decline
754;другой пусть;decline
755;снимаю;decline
756;взял поездку, пас;decline
757;пропусти;decline
758;далековато;decline
759;конец смены;decline
760;перерыв;decline
761;устал;decline
762;пробки, нет;decline
763;ремонт, пас;decline
764;пусть другой;decline
765;плохая дорога;decline
766;кресла нет;decline
767;погода плохая;decline
768;нет детского;decline
769;занят рейсом;decline
770;длинно;decline
771;поздно;decline
772;далеко, пас;decline
773;спешу;decline
774;бензина мало;decline
775;пропускаю конец смены;decline
776;отказ поздно;decline
777;позже поздно;decline
778;отказываюсь нет кресла;decline
779;пропускаю нет кресла;decline
780;нет возможности взять;decline
781;нет времени сейчас;decline
782;давай другой возьмёт;decline
783;не беру нет кресла;decline
784;не могу далеко;decline
785;нет времени плохая дорога;decline
786;пропускаю загружен;decline
787;нет времени спешу;decline
788;занят плохая дорога;decline
789;пас перерыв;decline
790;позже загружен;decline
791;слишком далеко, пас;decline
792;пас спешу;decline
793;не могу устал;decline
794;не беру загружен;decline
795;не мой район сейчас;decline
796;занят перерыв;decline
797;отказ устал;decline
798;пропускаю перерыв;decline
799;позже ремонт;decline
800;снимаю поздно;decline
801;нет времени устал;decline
802;пропускаю поздно;decline
803;пас поздно;decline
804;пас устал;decline
805;снимаю далеко;decline
806;занят нет кресла;decline
807;пропускаю устал;decline
808;отказ перерыв;decline
809;не беру конец смены;decline
810;пас конец смены;decline
811;позже конец смены;decline
812;поздно, пропускаю;decline
813;не беру ремонт;decline
814;отказ ремонт;decline
815;не успеваю, пас;decline
816;не беру перерыв;decline
817;снимаю загружен;decline
818;снимаю устал;decline
819;позже перерыв;decline
820;позже устал;decline
821;отказываюсь загружен;decline
822;не беру спешу;decline
823;пропускаю спешу;decline
824;снимаю ремонт;decline
825;пас, беру позже;decline
826;нет кресла, пропускаю;decline
827;плохое состояние дороги;decline
828;не готов сейчас;decline
829;отказ сейчас;decline
830;отказ конец смены;decline
831;позже плохая дорога;decline
832;нет времени поздно;decline
833;отказ загружен;decline
834;отказываюсь плохая дорога;decline
835;отказ нет кресла;decline
836;перерыв, не беру;decline
837;пас плохая дорога;decline
838;занят сейчас;decline
839;снимаю пробки;decline
840;не могу, сейчас спешу;decline
841;не вариант сейчас;decline
842;позже нет кресла;decline
843;снимаю спешу;decline
844;не могу пробки;decline
845;сейчас не могу взять;decline
846;пас ремонт;decline
847;нет времени ремонт;decline
848;отказ из-за пробок;decline
849;занят устал;decline
850;ремонт машины, пас;decline
851;пропускаю ремонт;decline
852;отказываюсь перерыв;decline
853;отказ спешу;decline
854;занят ремонт;decline
855;пропускаю плохая дорога;decline
856;не могу поздно;decline
857;нет времени нет кресла;decline
858;отказ плохая дорога;decline
859;занят поздно;decline
860;не могу загружен;decline
861;нет времени далеко;decline
862;не беру пробки;decline
863;пас загружен;decline
864;не могу нет кресла;decline
865;пропускаю пробки;decline
866;устал, пас сейчас;decline
867;отказ далеко;decline
868;снимаю конец смены;decline
869;занят спешу;decline
870;нет времени конец смены;decline
871;пас далеко;decline
872;отказываюсь далеко;decline
873;отказываюсь ремонт;decline
874;не могу сейчас;decline
875;отказываюсь спешу;decline
876;нет времени перерыв;decline
877;позже спешу;decline
878;не могу плохая дорога;decline
879;погода плохая, не беру;decline
880;снимаю нет кресла;decline
881;откажись от заказа;decline
882;пожалуй откажусь;decline
883;отмени заказ;decline
884;отмена;decline
885;не надо;decline
886;пропускаю сейчас;decline
887;не беру устал;decline
888;пропуск заказа;decline
889;пропускаем клиента;decline
890;пропуск клиента;decline
891;не берем заказ;decline
892;этот заказ мы не берем;decline
893;отбой;decline
894;пас;decline
895;не поеду;decline
896;пропуск;decline
897;не сегодня;decline
898;извини, пропускаю;decline
899;скидываю;decline
900;занят, позже;decline
901;позже возьму;decline
902;не подъеду;decline
903;не прибуду;decline
904;снял заказ;decline
905;скинуть;decline
906;пас сейчас;decline
907;дальше без меня;decline
908;заказывайте другого;decline
909;отказываюсь брать;decline
910;не хватит времени;decline
911;пропускаю рейс;decline
912;не беру этот;decline
913;занято;decline
914;в перерыве;decline
915;не успеваю;decline
916;не беру, пас;decline
917;отказы;decline
918;пас, позже;decline
919;займусь позже;decline
920;не свободен;decline
921;отпуск;decline
922;закрою;decline
923;скидываю заказ;decline
924;отменяю сразу;decline
925;пропускаю мимо;decline
926;пас на этот;decline
927;не буду брать;decline
928;нет желания;decline
929;не выходит;decline
930;не тяну сейчас;decline
931;займусь другим;decline
932;не подъеду вовремя;decline
933;нет в графике;decline
934;отказываюсь сразу;decline
935;передайте дальше;decline
936;оставлю другим;decline
937;не готов ехать;decline
938;пропустим;decline
939;не хочу ехать;decline
940;не беру, в перерыве;decline
941;занятой;decline
942;пропускаю, пас;decline
943;нет, не сейчас;decline
944;не в этот раз;decline
945;просто пас;decline
946;не подходит сейчас;decline
947;не беру, занят;decline
948;отменить заказ;decline
949;нет интереса;decline
950;не могу принять;decline
951;скину;decline
952;пропуск, пас;decline
953;отказываюсь, занят;decline
954;не беру, перерыв;decline
955;пропущу;decline
956;пропускаю заказик;decline
957;нет, другой раз;decline
958;не поеду, пас;decline
959;брось;decline
960;не получу;decline
961;оставьте;decline
962;миную;decline
963;отмени;decline
964;отказ по заказу;decline
965;пропустил;decline
966;потом;decline
967;пропустим это;decline
968;попозже;decline
969;отменяем заказ;decline
970;передаю;decline
971;не возьмусь;decline
972;не приму;decline
973;отмена рейса;decline
974;перескочу;decline
975;нет, позже;decline
976;не буду сейчас;decline
977;просто нет;decline
978;мимо;decline
979;не, пас;decline
980;пропуск сейчас;decline
981;пропусти срочно;decline
982;не беру, устал;decline
983;лишний заказ;decline
984;передам дальше;decline
985;дальше;decline
986;отмена, пас;decline
987;нет, мимо;decline
988;не двигаю;decline
989;не, потом;decline
990;пока нет;decline
991;нет, мимо заказа;decline
992;заберу позже;decline
993;скидываю, занят;decline
994;пропустим, перерыв;decline
995;нет, занят;decline
996;сейчас пропущу;decline
997;отложи;decline
998;не та поездка;decline
999;не получится;decline
1000;отменить сейчас;decline
1001;не, пропуск;decline
1002;не беру, пропущу;decline
1003;пропуск тут;decline
1004;перешлю;decline
1005;не планирую;decline
1006;перекур;decline
1007;отменю;decline
1008;не беру, перекур;decline
1009;нет, пауза;decline
1010;пауза;decline
1011;нет, пропуск заказа;decline
1012;не мой маршрут;decline
1013;другое возьму;decline
1014;оставь;decline
1015;позже приму;decline
1016;сейчас нет;decline
1017;не, не беру;decline
1018;не выйдет;decline
1019;pass;decline
1020;мимо заказа;decline
1021;пропустил заявку;decline
1022;не хочу, пропуск;decline
1023;отмена сейчас;decline
1024;сброс заказа;decline
1025;отказ, пас;decline
1026;свободен позже;decline
1027;не беру, пауза;decline
1028;не приму заказ;decline
1029;нет свободен;decline
1030;пропускаю поездку;decline
1031;не успею, пропуск;decline
1032;потом возьму;decline
1033;скидываю это;decline
1034;отмена, позже;decline
1035;не вариант, пропуск;decline
1036;без меня сейчас;decline
1037;не мой;decline
1038;мимо, спасибо;decline
1039;откажусь сейчас;decline
1040;отменяю, занят;decline
1041;pass now;decline
1042;skip;decline
1043;пропуск сразу;decline
1044;отбой, мимо;decline
1045;отмена мгновенно;decline
1046;нет, пропуск;decline
1047;не, отмена;decline
1048;не беру, отбой;decline
1049;ноль;decline
1050;не иду;decline
1051;не та точка;decline
1052;поздно, пропуск;decline
1053;еду другим;decline
1054;не тот район;decline
1055;скидывай;decline
1056;пропустил рейс;decline
1057;пропуск, занят;decline
1058;переставляю;decline
1059;отмена, сейчас;decline
1060;не возьмусь сейчас;decline
1061;не выезжаю;decline
1062;скину позже;decline
1063;освобожусь позже;decline
1064;нет, друг возьмёт;decline
1065;не пойду;decline
1066;не стану;decline
1067;скидываем;decline
1068;отмена, без деталей;decline
1069;минус;decline
1070;вычеркиваю;decline
1071;пас тут;decline
1072;отказ здесь;decline
1073;no;decline
1074;отказал;decline
1075;пропуск ещё;decline
1076;убери заказ;decline
1077;удаляю;decline
1078;нет, отменяю;decline
1079;дальше пас;decline
1080;не сегодня, пас;decline
1081;уберите;decline
1082;снимаю, пас;decline
1083;нет, не надо;decline
1084;не поеду сейчас;decline
1085;отменяю без пояснений;decline
1086;пропуск по умолчанию;decline
1087;перескок;decline
1088;скину этот;decline
1089;быстрее отмена;decline
1090;не беру, пропуск;decline
1091;до свидания;decline
1092;мимо, извините;decline
1093;не подходит мне;decline
1094;убери;decline
1095;отбой на заказ;decline
1096;не выйдет сейчас;decline
1097;не приму сейчас;decline
1098;отменяю заказик;decline
1099;не наш;decline
1100;не успею принять;decline
1101;отказ по времени;decline
1102;замена;decline
1103;переслать;decline
1104;нет, свободен позднее;decline
1105;пропуск, пауза;decline
1106;осечка;decline
1107;вместе не поеду;decline
1108;отменю моментально;decline
1109;отказ сегодня;decline
1110;не подходит время;decline
1111;не беру задания;decline
1112;не согласен ехать;decline
1113;отменяй;decline
1114;не, пропускаю;decline
1115;не беру вновь;decline
1116;пока нет, спасибо;decline
1117;отмена мгновенная;decline
1118;не приму, перерыв;decline
1119;отменил;decline
1120;не возьму, пауза;decline
1121;вне маршрута;decline
1122;отменяем тут;decline
1123;скинул;decline
1124;пас, без причин;decline
1125;не готов принять;decline
1126;нету времени;decline
1127;займу позже;decline
1128;free later;decline
1129;не сейчас, перерыв;decline
1130;отмена прямая;decline
1131;пас, потом;decline
1132;другая дорога;decline
1133;мимо сегодня;decline
1134;нет сил;decline
1135;не на ходу;decline
1136;откажись быстро;decline
1137;cancel;decline
1138;runaway;decline
1139;пропуск мгновенно;decline
1140;не беру, займусь другим;decline
1141;пауза, позже;decline
1142;занятость;decline
1143;снимаем;decline
